,No,Comment,Class
1055,1056,subscribe to me for call of duty vids and give aways Goal-100 subs﻿,1
480,481,"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.﻿",0
165,166,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge.",1
248,249,CHECK OUT MY COVER OF LOVE THE WAY YOU LIE PLEASE!!,1
307,308,watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA,1
893,894,"This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿",0
567,568,There is 7 bilion poeple on earth Now stop being dumb﻿,0
334,335,CHECK OUT MY CHANNEL,1
97,98,God she is so hot,0
1161,1162,Hey subscribe to me﻿,1
714,715,Hey guys subscribe to my channel for no reason! Please!..﻿,1
944,945,This Song Was Good Until It Got Overplayed The Hell Out Of On Radio﻿,0
885,886,This video deserves <b>1B</b> views!!!﻿,0
1283,1284,Check out this video on YouTube:﻿,1
1174,1175,"Check out my dance videos!! You won&#39;t be disappointed!! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23KingLoTheDancer"">#KingLoTheDancer</a>﻿",1
1176,1177,"Like Gorlin-Goltz Syndrome Support Community, you are not alone. https://www.facebook.com/GorlinGoltzSupport﻿",1
302,303,Check Out The New Hot Video By Dante B Called Riled Up,1
1066,1067,"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",1
388,389,Thank you. Please give your email. ﻿,1
235,236,Lil m !!!!! Check hi out!!!!! Does live the way you lie and many more ! Check it out!!! And subscribe,1
952,953,https://www.tsu.co/Aseris get money here !﻿,1
832,833,Song name??﻿,0
305,306,SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG   SnEakiESTG Good Music. Hood Muzik Subscribe 2 My Channel. Thanks For The Support. SnEakiESTG,1
903,904,SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
1054,1055,How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,0
249,250,YO GUYS IM 14 YEAR OLD RAPPER JUST STARTED RAPPING  SO PLEASE CHECK OUT MY SITE AND LEAVE FEEDBACK AND SUBSCRIBE  ALSO LIKE THIS COMMENT SO MORE CAN SEE AND MAKE MY CHANNEL BIG ASWELL,1
887,888,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,1
1179,1180,"blue eyes, can't be trusted.  uranus bless america.﻿",0
71,72,ｈｔｔｐ://ｗｗｗ.ｅｂａｙ.ｃｏｍ/ｕｓｒ/ｓｈｏｅｃｏｌｌｅｃｔｏｒ314,1
94,95,"PLEASE CHECK OUT THIS VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot;, THANK U :)",1
1065,1066,I #votekatyperry for the 2014 MTV #VMA Best Lyric Video! See who's in the  lead and vote:  http://on.mtv.com/Ut15kX﻿,1
33,34,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1
900,901,Why so many disliked??????!!!!!!😯﻿,0
448,449,BEST SONG! GO SHAKI :D﻿,0
445,446,the most viewed youtube video of all time?﻿,0
967,968,Eminem et Rihana trop belle chanson﻿,0
1247,1248,Party time!﻿,0
796,797,"i was playing this song and the baby in my belly started to dance to  it.....sooooo cute, but had to take the song out cause of copy right and  add in a youtube made song....still sooo cute the baby danced to this song  LMFAO!!! https://plus.google.com/111982027348137311818/posts/g2JVinPueMo﻿",1
77,78,Wow,0
84,85,Please visit this Website: oldchat.tk,1
1153,1154,FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo﻿,1
82,83,wanna earn money online without investment.....just visit this link .....therglove.blogspot.in/2013/08/blog-post_10.html,1
457,458,:D﻿,0
1074,1075,"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!﻿",1
864,865,This song means so much to me thank you  soooooooooooooooooooooooooooooooooooooooo much:-) Xxx﻿,0
436,437,Visit my channel﻿,1
1008,1009,i remember this song!,0
1039,1040,Can we reach 3 billion views by December 2014? ﻿,0
404,405,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0
1133,1134,"New way to make money easily and spending 20 minutes daily --&gt; <a href=""https://www.paidverts.com/ref/Marius1533"">https://www.paidverts.com/ref/Marius1533</a>﻿",1
706,707,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,0
754,755,please suscribe i am bored of 5 subscribers try to get it to 20!﻿,1
104,105,Shakira is the best dancer,0
630,631,Nice song﻿,0
704,705,I love this sooooooooooooong I love katy perry﻿,0
62,63,I love this song because we sing it at Camp all the time!!,0
281,282,"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters.",1
770,771,imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,0
238,239,Hi Guys im an Upcoming Rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all HATERS are welcome to :) thanks,1
223,224,check out my playlist,1
145,146,"Echa un vistazo a la remezcla! / Check out the remix!  MILEY CYRUS - WRECKING BALL (THE HOUSE OF EDM REMIX)  MILEY CYRUS - WRECKING BALL (VINCENT T. REMIX)  ...click, enlace, suscríbase! / ...click, link, subscribe!",1
1213,1214,"Its a good song and i like her video clip, because its a bout a girl that  her airplane crashed on a land far far away... and she found the way to  survive! And i love the pet tiget too( Kitty Purpy) lol :D﻿",0
373,374,"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿",0
118,119,so beutiful,0
945,946,Good song:-)﻿,0
250,251,Check out my channel for some lyricism.....,1
1252,1253,Check out this video on YouTube:it is a old track but it still bad﻿,1
9,10,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,1
449,450,just :( superr!!!﻿,0
255,256,"hey guy if you can please SUBSCRIBE to my channel im a young dedicated rapper i post videos everyday to improve  i write/perform/record/mix/edit/post everyday  i do a verse everyday (16 bars)to improve i&#39;m doing it for 365 days a whole year to improve right now i&#39;m on day 46  if you guys can please like this comment so everyone can see it and follow me on my journey/watch me improve everyday SUBSCRIBE PLEASE I&#39;m lyrical and i keep it real  help me reach my dream,help me build a fan base,THANKS(:",1
593,594,Check out this playlist on YouTube:﻿,1
389,390,"When I hear Katy singing this, I cry. The song has got depth.﻿",0
727,728,It should be illegal to be this goodlooking as this babe is...﻿,0
1043,1044,I love this song and expect the World Cup .﻿,0
557,558,I love you!❤✨﻿,0
460,461,Remove This video its wank﻿,0
1197,1198,Check out this video on YouTube:﻿,1
144,145,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
501,502,like this comment if your watching in 2015 or 2016﻿,1
1200,1201,Best World Cup Song﻿,0
539,540,I like you . Katy Perry 600▲60▲6▲﻿,0
177,178,How To Make A Lot Of Money Fast,1
1254,1255,8 million likes xD even the subscribers not 8 million xD﻿,0
816,817,YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,0
679,680,I like This Comment and do not kill :P﻿,1
1293,1294,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,1
7,8,Nice song ^_^,0
650,651,LIKKEE﻿,0
1031,1032,Check out this video on YouTube:﻿,1
357,358,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1
329,330,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1
987,988,Eminem is my insperasen and fav﻿,0
976,977,Waka waka !!!﻿,0
258,259,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1
1024,1025,Go check out my rapping video called Four Wheels please ❤️﻿,1
372,373,I love this song so much﻿,0
908,909,Fantastic!!!﻿,0
1032,1033,Can you check my videos please? Don't hate me :( Give me one oportunity﻿,1
1268,1269,Check out my acoustic channel ﻿,1
525,526,I am going to blow my mind﻿,0
1264,1265,check out mah girl it duh shit yo﻿,1
1125,1126,I like the Mmph version better﻿,0
879,880,And i´m Shufflin still today :D﻿,0
1236,1237,Love it!!!!!!!!!!!!!!!!💜﻿,0
440,441,You can not hate eminem and nirvana...trust me﻿,0
531,532,Check out this video on YouTube:﻿,1
1134,1135,If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,0
226,227,all u should go check out j rants vi about eminem,1
228,229,hello friends. i am a young 15 year old rapper trying to make something out of nothing..Please can you take a second of your life and check out my videos and help me reach my Dreams! GoD Bless YOU,1
1128,1129,I love you﻿,0
212,213,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1
79,80,"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1
148,149,CHECK OUT DANEJA GOOD GIRL,1
1291,1292,Love the video ﻿,0
990,991,Katy Perry is lion﻿,0
1265,1266,"Need money ? check my channel and subscribe,soon will post how to get it )﻿",1
133,134,Hi.Check out and share our songs.,1
917,918,Love it when I can relate to my daughter's music. :-) Katy Perry - Roar  (Official): http://youtu.be/CevxZvSJLk8﻿,0
408,409,Check out this video on YouTube:﻿,1
783,784,"Rap from Belarus, check my channel:)﻿",1
507,508,Very Nice !﻿,0
1030,1031,At least she didn't get rid of her completely useless makeup.﻿,0
504,505,Check out this video on YouTube:﻿,1
787,788,I am so awesome and smart!!! Sucscribe to me!﻿,1
347,348,"I've figured out why I dislike this song: it's supposed to be a power  ballad right? Something that's uplifting and motivating by the end.  However, the final chorus has NO extra UMPH at the end and actually sounds  just like the first one. Instead of crescendo-ing into a powerful finish,  ""Roar"" just says on the same wavelength. It falls flat.﻿",0
386,387,Check out this video on YouTube:﻿,1
0,1,this song is racist,0
360,361,Wanderfol is love or miusic﻿,0
1229,1230,please visit my channel﻿,1
475,476,I love your songs eminem your the rap god﻿,0
1114,1115,OMG LISTEN TO THIS ITS SOO GOOD!! :D﻿,0
910,911,For latest movies 2014 please visit this site  http://www.networkedblogs.com/p/11cPWb?ref=panorama﻿,1
904,905,Cutie girl and beautiful song,0
881,882,"Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿",1
723,724,People who believe in Illuminati are stupid the same people believe that  911 was made by the American government﻿,0
172,173,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
450,451,Good video﻿,0
125,126,Love this song !!!!!!,0
745,746,This is my favorite song ever love this Party Rock It Everybody!!!!﻿,0
530,531,just came here to check the views :P﻿,0
90,91,I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa,0
1257,1258,Who df is Lauren Bennett..﻿,0
181,182,subscribed :) btw you have a good style keep it up brother :)),1
767,768,So freaking sad...﻿,0
414,415,This is getting old.........﻿,0
251,252, subscribe to my feed,1
69,70,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
131,132,She is perfect,0
300,301, Subscribe and like my video please,1
1007,1008,Fire..﻿,0
326,327,Check Out The New Hot Video By Dante B Called Riled Up,1
1270,1271,"This Will Always Be My Favorite Song<br />But My Favorite Part Is <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m40s"">3:40</a>-<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=4m11s"">4:11</a> In The Video ﻿",0
926,927,Fuck you Eminem﻿,0
499,500,im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,1
774,775,wowwwwwwwwwwwwwwwwwwwwwwwwwwwwww﻿,0
364,365,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,1
495,496,i want to smack this year boy in to forever﻿,0
1210,1211,goot﻿,0
338,339,Charlie from LOST?﻿,0
421,422,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",0
164,165,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1
28,29,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?",1
516,517,Check out this video on YouTube:﻿,1
193,194,"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support.",1
1178,1179,I'm only checking the views﻿,0
1075,1076,most popular video on youtube  ﻿,0
169,170,Hi. Check out and share our songs.,1
916,917,"Ahhh, 2 years ago....﻿",0
652,653,i like this song because of all the animals and i like this song .﻿,0
173,174,subscribe to my pagee please.,1
518,519,Megan Fox is gorg in this!! Eminem is truly the rap god :)﻿,0
1216,1217,"THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS  WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/﻿",1
1072,1073,ima rapper trying to get notice please check out my mixtape   datpiff.com/mixtapes-detail.php?id=633807﻿,1
491,492,Is that Charlie from lost?<br />﻿,0
73,74,Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!,1
1088,1089,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,0
587,588,"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0
657,658,Admit it you just came here to check the number of viewers ﻿,0
234,235,"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?",1
732,733,subscribe to me﻿,1
214,215,Tell us the title so i can like and subscribe your music fgw please,1
162,163,Shakira :-*,0
132,133,Hi. Check out and share our songs.,1
909,910,"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",0
1273,1274,Love this song! My soccer team made a cd for our couch with this song on it!﻿,0
1068,1069,Hii youtube﻿,0
185,186,"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace.",1
41,42,adf.ly / KlD3Y,1
692,693,Check out this video on YouTube:﻿,1
108,109,Ouf Ouf OUFFFFFFFFFFFFFFFFFF!!!!!!!! :),0
1000,1001,She's awesome XD﻿,0
568,569,"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo﻿",1
756,757,Your going to hear me Roar !!!! :-))))   #soundsofsunday ﻿,0
1101,1102,C'mon 3 billion views!!!!!!!!﻿,0
1250,1251,"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",1
483,484,Check out this video on YouTube:﻿,1
468,469,"Every collaboration between them, we know it will be number 1 ﻿",0
24,25,Shakira :-*,0
851,852,Check out this video on YouTube:Qq﻿,1
792,793,"Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
1295,1296,Awsome<br />﻿,0
1099,1100,BEST SONG EVER X3333333333﻿,0
366,367,"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿",0
989,990,Hello. İ am from Azerbaijan<br />﻿,0
1143,1144,Check out this playlist on YouTube:<br /><br />﻿,1
383,384,"This song is the most boring, asinine song I have ever heard. Coming from a  guy who liked ""Teenage Dream"" (the song). Ever since Katy Perry's divorce  it's wave after wave of shitty but successful songs... For those of you  saying ""This is the next wave of pop music"". Stick it up your ass. Katy  Perry is like Silly Putty. ﻿",0
734,735,Love your song makes me happy﻿,0
717,718,That shake and that golden and black robot were really partying ﻿,0
454,455,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,1
264,265,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor.",1
888,889,"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿",1
232,233,CHECK OUT THESE LYRICS /watch?v=yUTTX04oyqQ,1
444,445,I miss this song. 😢﻿,0
395,396,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0
869,870,"I fuckin love this song!<br /><br /><br />After, I&#39;m sexy and I know it ﻿",0
176,177,This Song will never get old,0
18,19,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,1
1139,1140,I like shakira..﻿,0
825,826,I love song ﻿,0
969,970,watch this with sound off!﻿,0
858,859,"Its funny that Mahogany is there lmao, I actually didn&#39;t know that her brother and uncle are part of LMFAO﻿",0
595,596,Aslamu Lykum... From Pakistan﻿,1
61,62,we are 14 year old boys we are trying to enter in the music industry Maybe we are just a dreamers but we are not the? only one. Please give us one chance to prove ourself to you. we know these things are annoying as hell we are sorry? about that. But we do anything to get music heard. Please visit our channel subscribe if you like and thumb this comment up so everyone can see we have made a song called: I Wanna Play A Game please take a look on our channel Thankss!!!,1
272,273,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",1
1221,1222,Check out this video on YouTube:﻿,1
278,279,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality",1
991,992,Rihanna and Eminem together are unstoppable.﻿,0
694,695,Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,1
368,369,Go to my channel if u want to see a fly getting burned alive﻿,1
1196,1197,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1
36,37,"I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.",1
735,736,thumb up if you watching in 2015 and  you like it﻿,0
963,964,sub my channel for no reason -_-﻿,1
1089,1090,"if watching in 2015 subscribe to <span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/104999962146104962510"" oid=""104999962146104962510"">SuperMarioLogan</a></span> ﻿",1
1258,1259,This awesome song needed 4 years to reach to 800 mil views while Tango Switch bitch needed 1 year. its not fairrrrrrr﻿,0
905,906,I like it<br />﻿,0
547,548,every bady yust have a good time﻿,0
1175,1176,:)﻿,0
688,689,Check out this video on YouTube:﻿,1
738,739,Feels and emotions in this song...God damn﻿,0
191,192,Check out my videos guy! :) Hope you guys had a good laugh :D,1
456,457,Check out this video on YouTube:﻿,1
393,394,Check out this video on YouTube:﻿,1
675,676,Best for partying ﻿,0
760,761,Boooobs﻿,0
1279,1280,watch?v=vtaRGgvGtWQ   Check this out .﻿,1
728,729,awesome﻿,0
419,420,http://9gag.com/gag/aAVpwj9/ =)﻿,1
375,376,Charlie got off the island and dated Megan Fox? b-but what about claire?﻿,0
412,413,I did a cover if u want to check it out THANK U.....Michael Age 8﻿,1
74,75,"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",1
1217,1218,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",1
1018,1019,Check out this video on YouTube:﻿,1
500,501,Ah. Good old times (:﻿,0
943,944,http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ﻿,1
616,617,"860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿",0
114,115,I like,0
417,418,1000000000 views.﻿,0
601,602,hi guys please my android photo editor download. thanks https://play.google.com/store/apps/details?id=com.butalabs.photo.editor﻿,1
604,605,that time in 2011 where this shirt was cool﻿,0
982,983,"Shakira is different :) She is so happy all the time and she is spending for Africa :)<br />She can dance , sing and she speaks 4 languages﻿",0
89,90,Your a fucking bitch,0
970,971,Gooooood﻿,0
1244,1245,Subscribe and like to me for more how to videos on minecraft!﻿,1
753,754,Check out this video on YouTube:﻿,1
498,499,Honestly speaking except taylor swift and adele i don't lile any of the  modern day singers. But i must say whenever i hear this song i feel  goosebumps. Its quite inspiring!! Thanks miss Perry!﻿,0
1029,1030,if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,1
1035,1036,Check out this playlist on YouTube:﻿,1
1033,1034,Oh my god go to 1 billion of replay i love shakira﻿,0
11,12,:),0
396,397,Hey guys! My mom said if i got 100 subs before christmas I'll get a kitten  and I always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) Please no mean comments﻿,1
977,978,"You are all sheep, period. This is terrible music.﻿",0
555,556,Check out this video on YouTube:﻿,1
42,43,Shakira is very beautiful,0
167,168,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
416,417,Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,1
576,577,Love you﻿,0
267,268,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",1
